4,3;0,006666667;0,08412711
4,4;0,02;0,1047498
4,5;0,006666667;0,128527
4,6;0,02666667;0,1554029
4,7;0,01333333;0,1851604
4,8;0,03333334;0,2174007
4,9;0,04;0,2515344
5;0,06666667;0,2867859
5,1;0,06;0,3222122
5,2;0,02666667;0,3567385
5,3;0,006666667;0,3892082
5,4;0,04;0,4184443
5,5;0,04666667;0,4433199
5,6;0,04;0,462829
5,7;0,05333333;0,4761544
5,8;0,04666667;0,482724
5,9;0,02;0,4822518
6;0,04;0,4747583
6,1;0,04;0,4605695
6,2;0,02666667;0,4402929
6,3;0,06;0,4147743
6,4;0,04666667;0,3850401
6,5;0,03333334;0,352228
6,6;0,01333333;0,3175161
6,7;0,05333333;0,2820535
6,8;0,02;0,2468998
6,9;0,02666667;0,2129777
7;0,006666667;0,1810386
7,1;0,006666667;0,1516465
7,2;0,02;0,1251749
7,3;0,006666667;0,1018182
7,4;0,006666667;0,08161277
7,6;0,006666667;0,05017586
7,7;0,02666667;0,03848566
7,9;0,006666667;0,02166597
